metric,value,tags,ts
gpu_temp,36.0,"{""gpu"":0}",2026-04-14T06:10:11
gpu_vram_pct,3.1,"{""gpu"":0}",2026-04-14T06:10:11
gpu_temp,33.0,"{""gpu"":1}",2026-04-14T06:10:11
gpu_vram_pct,0.1,"{""gpu"":1}",2026-04-14T06:10:11
gpu_temp,33.0,"{""gpu"":2}",2026-04-14T06:10:11
gpu_vram_pct,0.1,"{""gpu"":2}",2026-04-14T06:10:11
gpu_temp,30.0,"{""gpu"":3}",2026-04-14T06:10:11
gpu_vram_pct,0.1,"{""gpu"":3}",2026-04-14T06:10:11
gpu_temp,31.0,"{""gpu"":4}",2026-04-14T06:10:11
gpu_vram_pct,0.7,"{""gpu"":4}",2026-04-14T06:10:11
ram_free_gb,27.3,{},2026-04-14T06:10:11
system_score,100.0,{},2026-04-14T06:10:11
llm_latency_ms,1313.0,"{""model"":""m2_r1""}",2026-04-14T06:10:11
llm_latency_ms,693.0,"{""model"":""ol1_gemma""}",2026-04-14T06:10:11
